HUNDENAME,GEBURTSJAHR_HUND,GESCHLECHT_HUND
" Ituma",2011,"w"
"""Bobby"" Lord Sinclair",2009,"m"
"""Buddy"" Fortheringhay's J.",2011,"m"
"""Zappalla II"" Kora v. Tüfibach",2011,"w"
"(Karl) Kaiser Karl vom Edersee",2013,"m"
"A-Diana",2006,"w"
"A-nan",2009,"m"
"Aaliyah",2015,"w"
"Aaliyah",2005,"w"
"Aaliyah",2011,"w"
"Aaran vom Blauort",2010,"m"
"Aaron",2011,"m"
"Aaron",2011,"m"
"Aaron",2005,"m"
"Aaron (Keki)",2016,"m"
"Abba",2011,"w"
"Abbie",2012,"w"
"Abby",2014,"w"
"Abby",2010,"w"
"Abby (Abbygail)",2013,"w"
"Abenaki Cibor",2014,"m"
"Abenaki Dakil",2016,"m"
"Aberdeen",2018,"w"
"Abraxa",2007,"w"
"Abygail",2018,"w"
"Ace (Sid)",2017,"m"
"Achilles",2011,"m"
"Achilles",2004,"m"
"Achilles de Biaska",2016,"m"
"Acoma",2014,"w"
"Ada",2017,"w"
"Adam",2015,"m"
"Addison",2009,"w"
"Adele",2013,"w"
"Aden",2017,"m"
"Ades",2019,"m"
"Adia Adlerstein",2008,"w"
"Adonis",2013,"m"
"Adria",2014,"w"
"Aegir (Caronte)",2010,"m"
"Aeneas",2007,"m"
"Aferdita",2017,"w"
"Affra vom Wiler-Berg",2012,"w"
"African Mashumba Akida",2016,"m"
"Agata",2005,"w"
"Aico v. Lindenberg",2009,"m"
"Aida",2009,"w"
"Aida",2017,"w"
"Aida Sarastro",2005,"w"
"Aida-Zora",2011,"w"
"Aika",2018,"w"
"Aiko",2009,"m"
"Aiko",2016,"m"
"Aiko",2010,"m"
"Aiko",2016,"w"
"Aiko",2015,"m"
"Aila",2008,"w"
"Ailou vom Schwaneby",2016,"m"
"Aimo von der Glücksquelle",2012,"m"
"Aino Delta",2018,"w"
"Aio",2017,"w"
"Air",2016,"m"
"Aira",2004,"w"
"Airon",2010,"m"
"Aischa",2007,"w"
"Aischa",2004,"w"
"Aischa",2008,"w"
"Aisha",2010,"w"
"Aisha",2013,"w"
"Aisha",2016,"w"
"Aisha",2012,"w"
"Aisha",2017,"w"
"Aisha",2018,"w"
"Aisha",2012,"w"
"Aisha",2004,"w"
"Aisha",2008,"w"
"Aisha Gracia Hondje ",2017,"w"
"Aisha Kianga",2012,"w"
"Aishe",2014,"w"
"Aja",2017,"w"
"Ajana",2015,"w"
"Ajani",2014,"m"
"Ajla",2013,"w"
"Ajoya",2004,"w"
"Ajsha",2017,"w"
"Akando-Abucco v. Ritters Glück",2014,"m"
"Akela Sugar Dogs v. Donaugart.",2016,"w"
"Aki",2010,"m"
"Aki",2017,"w"
"Akido",2010,"m"
"Akina",2014,"w"
